,cost,probabilities,shares,p_shares,payments,round_num
20,229.11514360113986,"{'A': 0.33631397860666856, 'B': 0.3307728590507741, 'C': 0.3329131623425573}","{'A': 11.173124557918047, 'B': 7.850470481357714, 'C': 9.140424250109323}","{1: {'A': 0.36855659980569877, 'B': 0.2515973797612965, 'C': 0.4484210046369984}, 2: {'A': 0.36855659980569877, 'B': 0.2515973797612965, 'C': 0.4484210046369984}, 3: {'A': 0.36855659980569877, 'B': 0.2515973797612965, 'C': 0.4484210046369984}}","{1: {'A': 0.3564323345253513, 'B': 0.35487518466953816, 'C': 0.35755369220282773}, 2: {'A': 0.3564323345253513, 'B': 0.35487518466953816, 'C': 0.35755369220282773}, 3: {'A': 0.3564323345253513, 'B': 0.35487518466953816, 'C': 0.35755369220282773}}",20
21,229.78655401145113,"{'A': 0.3364198575475099, 'B': 0.33077219790001816, 'C': 0.3328079445524719}","{'A': 11.907489400443252, 'B': 8.521481130081144, 'C': 9.748614317924702}","{1: {'A': 0.7343648425252047, 'B': 0.6710106487234296, 'C': 0.6081900678153783}, 2: {'A': 0.7343648425252047, 'B': 0.6710106487234296, 'C': 0.6081900678153783}, 3: {'A': 0.7343648425252047, 'B': 0.6710106487234296, 'C': 0.6081900678153783}}","{1: {'A': 0.6723824191992094, 'B': 0.6711927234357518, 'C': 0.6702282835471465}, 2: {'A': 0.6723824191992094, 'B': 0.6711927234357518, 'C': 0.6702282835471465}, 3: {'A': 0.6723824191992094, 'B': 0.6711927234357518, 'C': 0.6702282835471465}}",21
22,230.5283803743798,"{'A': 0.3363372923779978, 'B': 0.3307750812954939, 'C': 0.33288762632650837}","{'A': 12.600225139847062, 'B': 9.265050918198835, 'C': 10.53831948786525}","{1: {'A': 0.6927357394038097, 'B': 0.743569788117691, 'C': 0.789705169940548}, 2: {'A': 0.6927357394038097, 'B': 0.743569788117691, 'C': 0.789705169940548}, 3: {'A': 0.6927357394038097, 'B': 0.743569788117691, 'C': 0.789705169940548}}","{1: {'A': 0.7410202622907036, 'B': 0.7420298307273754, 'C': 0.7427887470785208}, 2: {'A': 0.7410202622907036, 'B': 0.7420298307273754, 'C': 0.7427887470785208}, 3: {'A': 0.7410202622907036, 'B': 0.7420298307273754, 'C': 0.7427887470785208}}",22
23,230.86109387385793,"{'A': 0.3364912239563768, 'B': 0.33084004156330066, 'C': 0.3326687344803225}","{'A': 13.024451752891368, 'B': 9.637038168092333, 'C': 10.73947877678026}","{1: {'A': 0.424226613044306, 'B': 0.37198724989349785, 'C': 0.20115928891501056}, 2: {'A': 0.424226613044306, 'B': 0.37198724989349785, 'C': 0.20115928891501056}, 3: {'A': 0.424226613044306, 'B': 0.37198724989349785, 'C': 0.20115928891501056}}","{1: {'A': 0.3344273382067513, 'B': 0.3330951521941188, 'C': 0.33015475308582154}, 2: {'A': 0.3344273382067513, 'B': 0.3330951521941188, 'C': 0.33015475308582154}, 3: {'A': 0.3344273382067513, 'B': 0.3330951521941188, 'C': 0.33015475308582154}}",23
24,231.08749652087832,"{'A': 0.33631181858489456, 'B': 0.33085728416535287, 'C': 0.3328308972497525}","{'A': 13.144192946624202, 'B': 9.87386407141786, 'C': 11.063349710728462}","{1: {'A': 0.11974119373283276, 'B': 0.23682590332552678, 'C': 0.32387093394820166}, 2: {'A': 0.11974119373283276, 'B': 0.23682590332552678, 'C': 0.32387093394820166}, 3: {'A': 0.11974119373283276, 'B': 0.23682590332552678, 'C': 0.32387093394820166}}","{1: {'A': 0.22448148545998947, 'B': 0.22699198503329399, 'C': 0.2285827873980395}, 2: {'A': 0.22448148545998947, 'B': 0.22699198503329399, 'C': 0.2285827873980395}, 3: {'A': 0.22448148545998947, 'B': 0.22699198503329399, 'C': 0.2285827873980395}}",24
25,231.5862830903657,"{'A': 0.33664990552038154, 'B': 0.33096525497607804, 'C': 0.3323848395035404}","{'A': 13.843934162903693, 'B': 10.437907295248293, 'C': 11.2939178431457}","{1: {'A': 0.6997412162794916, 'B': 0.5640432238304328, 'C': 0.2305681324172375}, 2: {'A': 0.6997412162794916, 'B': 0.5640432238304328, 'C': 0.2305681324172375}, 3: {'A': 0.6997412162794916, 'B': 0.5640432238304328, 'C': 0.2305681324172375}}","{1: {'A': 0.5026789688071176, 'B': 0.49930690471805406, 'C': 0.4932381760385738}, 2: {'A': 0.5026789688071176, 'B': 0.49930690471805406, 'C': 0.4932381760385738}, 3: {'A': 0.5026789688071176, 'B': 0.49930690471805406, 'C': 0.4932381760385738}}",25
26,232.33766138285782,"{'A': 0.3369254720082968, 'B': 0.3308924184487143, 'C': 0.3321821095429889}","{'A': 14.758956503252993, 'B': 11.14526613728618, 'C': 11.923273836977927}","{1: {'A': 0.9150223403492987, 'B': 0.7073588420378873, 'C': 0.6293559938322278}, 2: {'A': 0.9150223403492987, 'B': 0.7073588420378873, 'C': 0.6293559938322278}, 3: {'A': 0.9150223403492987, 'B': 0.7073588420378873, 'C': 0.6293559938322278}}","{1: {'A': 0.7544530622275261, 'B': 0.7498565376842237, 'C': 0.7483125267593778}, 2: {'A': 0.7544530622275261, 'B': 0.7498565376842237, 'C': 0.7483125267593778}, 3: {'A': 0.7544530622275261, 'B': 0.7498565376842237, 'C': 0.7483125267593778}}",26
27,232.78171582498507,"{'A': 0.33640614205835934, 'B': 0.33127747738668356, 'C': 0.33231638055495716}","{'A': 14.894497254908703, 'B': 11.821924920863633, 'C': 12.44815375323129}","{1: {'A': 0.13554075165571078, 'B': 0.6766587835774531, 'C': 0.5248799162533626}, 2: {'A': 0.13554075165571078, 'B': 0.6766587835774531, 'C': 0.5248799162533626}, 3: {'A': 0.13554075165571078, 'B': 0.6766587835774531, 'C': 0.5248799162533626}}","{1: {'A': 0.43810491283412034, 'B': 0.450152365215871, 'C': 0.447409597302169}, 2: {'A': 0.43810491283412034, 'B': 0.450152365215871, 'C': 0.447409597302169}, 3: {'A': 0.43810491283412034, 'B': 0.450152365215871, 'C': 0.447409597302169}}",27
28,232.96684919691987,"{'A': 0.33645721588560124, 'B': 0.3313220521188715, 'C': 0.3322207319955272}","{'A': 15.10999270659537, 'B': 12.033967296062285, 'C': 12.575714081744442}","{1: {'A': 0.21549545168666684, 'B': 0.2120423751986511, 'C': 0.12756032851315213}, 2: {'A': 0.21549545168666684, 'B': 0.2120423751986511, 'C': 0.12756032851315213}, 3: {'A': 0.21549545168666684, 'B': 0.2120423751986511, 'C': 0.12756032851315213}}","{1: {'A': 0.18580216284794915, 'B': 0.18557411925775114, 'C': 0.18383245382463542}, 2: {'A': 0.18580216284794915, 'B': 0.18557411925775114, 'C': 0.18383245382463542}, 3: {'A': 0.18580216284794915, 'B': 0.18557411925775114, 'C': 0.18383245382463542}}",28
29,233.44523267714848,"{'A': 0.33604817380769375, 'B': 0.33185217052110805, 'C': 0.3320996556711982}","{'A': 15.345081703467725, 'B': 12.83209692869037, 'C': 12.981195192623904}","{1: {'A': 0.23508899687235507, 'B': 0.798129632628086, 'C': 0.40548111087946115}, 2: {'A': 0.23508899687235507, 'B': 0.798129632628086, 'C': 0.40548111087946115}, 3: {'A': 0.23508899687235507, 'B': 0.798129632628086, 'C': 0.40548111087946115}}","{1: {'A': 0.47347345848478994, 'B': 0.48615982455291373, 'C': 0.47813417805988934}, 2: {'A': 0.47347345848478994, 'B': 0.48615982455291373, 'C': 0.47813417805988934}, 3: {'A': 0.47347345848478994, 'B': 0.48615982455291373, 'C': 0.47813417805988934}}",29
30,234.0591296271696,"{'A': 0.3366423888314585, 'B': 0.33114831788222154, 'C': 0.33220929328632}","{'A': 16.312315067775376, 'B': 13.021346889383947, 'C': 13.661108183096863}","{1: {'A': 0.9672333643076502, 'B': 0.1892499606935757, 'C': 0.6799129904729594}, 2: {'A': 0.9672333643076502, 'B': 0.1892499606935757, 'C': 0.6799129904729594}, 3: {'A': 0.9672333643076502, 'B': 0.1892499606935757, 'C': 0.6799129904729594}}","{1: {'A': 0.6215860953270465, 'B': 0.6032551842041585, 'C': 0.6138665743511922}, 2: {'A': 0.6215860953270465, 'B': 0.6032551842041585, 'C': 0.6138665743511922}, 3: {'A': 0.6215860953270465, 'B': 0.6032551842041585, 'C': 0.6138665743511922}}",30
31,234.28872965071096,"{'A': 0.33675057459630614, 'B': 0.3309009101409126, 'C': 0.3323485152627812}","{'A': 16.60617817195709, 'B': 13.101466939319957, 'C': 13.974506471714317}","{1: {'A': 0.2938631041817146, 'B': 0.0801200499360093, 'C': 0.31339828861745456}, 2: {'A': 0.2938631041817146, 'B': 0.0801200499360093, 'C': 0.31339828861745456}, 3: {'A': 0.2938631041817146, 'B': 0.0801200499360093, 'C': 0.31339828861745456}}","{1: {'A': 0.23093780980664746, 'B': 0.22588753916832616, 'C': 0.2310948742051835}, 2: {'A': 0.23093780980664746, 'B': 0.22588753916832616, 'C': 0.2310948742051835}, 3: {'A': 0.23093780980664746, 'B': 0.22588753916832616, 'C': 0.2310948742051835}}",31
32,234.7362215905289,"{'A': 0.3364404163441106, 'B': 0.33165302300672805, 'C': 0.33190656064916135}","{'A': 16.869378712564217, 'B': 14.00302799034467, 'C': 14.155862889284375}","{1: {'A': 0.26320054060712694, 'B': 0.9015610510247124, 'C': 0.18135641757005816}, 2: {'A': 0.26320054060712694, 'B': 0.9015610510247124, 'C': 0.18135641757005816}, 3: {'A': 0.26320054060712694, 'B': 0.9015610510247124, 'C': 0.18135641757005816}}","{1: {'A': 0.4437570708237786, 'B': 0.4589645559240694, 'C': 0.44266567108803656}, 2: {'A': 0.4437570708237786, 'B': 0.4589645559240694, 'C': 0.44266567108803656}, 3: {'A': 0.4437570708237786, 'B': 0.4589645559240694, 'C': 0.44266567108803656}}",32
33,235.49343865579579,"{'A': 0.33638054702027165, 'B': 0.3317515670234689, 'C': 0.3318678859562595}","{'A': 17.591002758435437, 'B': 14.819662201013678, 'C': 14.88977402999008}","{1: {'A': 0.7216240458712186, 'B': 0.8166342106690078, 'C': 0.7339111407057051}, 2: {'A': 0.7216240458712186, 'B': 0.8166342106690078, 'C': 0.7339111407057051}, 3: {'A': 0.7216240458712186, 'B': 0.8166342106690078, 'C': 0.7339111407057051}}","{1: {'A': 0.7563749096509014, 'B': 0.7587927624887811, 'C': 0.7568338651938689}, 2: {'A': 0.7563749096509014, 'B': 0.7587927624887811, 'C': 0.7568338651938689}, 3: {'A': 0.7563749096509014, 'B': 0.7587927624887811, 'C': 0.7568338651938689}}",33
34,235.99198291490882,"{'A': 0.3362761425734686, 'B': 0.3313172643985204, 'C': 0.332406593028011}","{'A': 18.027462183334197, 'B': 15.056210922725935, 'C': 15.712706599593698}","{1: {'A': 0.43645942489876066, 'B': 0.23654872171225794, 'C': 0.8229325696036176}, 2: {'A': 0.43645942489876066, 'B': 0.23654872171225794, 'C': 0.8229325696036176}, 3: {'A': 0.43645942489876066, 'B': 0.23654872171225794, 'C': 0.8229325696036176}}","{1: {'A': 0.4969417577965203, 'B': 0.49224392612831025, 'C': 0.5069426132005503}, 2: {'A': 0.4969417577965203, 'B': 0.49224392612831025, 'C': 0.5069426132005503}, 3: {'A': 0.4969417577965203, 'B': 0.49224392612831025, 'C': 0.5069426132005503}}",34
35,236.45984932693952,"{'A': 0.3370166335289404, 'B': 0.3313215408253146, 'C': 0.331661825645745}","{'A': 18.935250887903102, 'B': 15.526658787433743, 'C': 15.731963998708085}","{1: {'A': 0.9077887045689044, 'B': 0.4704478647078073, 'C': 0.019257399114387286}, 2: {'A': 0.9077887045689044, 'B': 0.4704478647078073, 'C': 0.019257399114387286}, 3: {'A': 0.9077887045689044, 'B': 0.4704478647078073, 'C': 0.019257399114387286}}","{1: {'A': 0.4796369120214763, 'B': 0.46626920575135955, 'C': 0.45432065696763857}, 2: {'A': 0.4796369120214763, 'B': 0.46626920575135955, 'C': 0.45432065696763857}, 3: {'A': 0.4796369120214763, 'B': 0.46626920575135955, 'C': 0.45432065696763857}}",35
